user_id,parent_asin,rating,timestamp,verified_purchase,helpful_vote,text,title,images,asin
AEQ3LN5N2CVKDJYM5AM5KUKUWS5Q,B01FO567M0,5.0,1589638882290,True,0,Works perfect,Works great,[],B01FO567M0
AHPHCA7LTSU72QBEG3AAIQQDP57A,B077S1TXFD,5.0,1544457753627,True,0,"Since these worked just great last year I bought some more for this year.  No need to buy expensive name brand filters, these fit just fine.",worked great last year,[],B077S1TXFD
AFZ2SZ3AFTJMQICZOTJO2C7UQ3TA,B07RK12Y1R,3.0,1579723970914,True,0,"I needed to raise my dryer so that I would not have to bend over so far to reach way in the back to remove clothing (I'm tall). This was barely adequate. You must insert rods into the corner pieces to connect the whole pedestal. The rods should be longer - there is only a small part of the rod that sticks into the hole, and it kept coming out when we tried to lift the dryer on top of the pedestal. So we drilled holes in each corner piece and thru the rod and secured it with screws. This kept the rods in place so we could mount the dryer on top. So far (after 6 months) it is holding together.",Not a great supporting product.,[],B07RK12Y1R
AECEMZOBX5RM2KH2LTAGPTMNSB5A,B09QKTK7C9,4.0,1663553910539,False,0,"This ice machine does what it says it does; it makes ice, and it dispenses hot and cold water.  It does have a few flaws, though.<br /><br />First, it gives you indication as to how much ice is left. It will tell you when it's full, and indicate when it snot full.  But it can be 95% full or 2% full, and the only way you will know when it's empty is when it stops dispensing ice. You can't look inside because there is no way to open it and look.<br /><br />The ice is on the soft, wet side. It's not as cold as it could be; it's close to melting. This makes it soft for chewing, but it melts easily and waters down drinks quickly.<br /><br />The machine is pretty noisy while it's making ice.<br /><br />The ice has a plastic-like chemical taste to it even after running a couple of gallons of water through it. The instruction said that it should take several quarts of water to get all the dust and flavor out, so this may yet pass in time, but it's pretty strong and unpleasant.<br /><br />Other than these issues, well, it is indeed an ice machine. It's far from perfect, but it makes ice pretty quickly and it can provide about 5 glasses full of ice at maximum capacity.","Makes ice, not the coldest though",[],B09QKTK7C9
AGF4VZAVTNS5HS2THO5J7MUHLGSA,B00TJ1XY9K,5.0,1453489386000,True,8,These two are the perfect solution for wine as well as canned drinks.  One of the coolers was noisy because the motor was defective.  The company replaced the cooler and paid for the return shipping on the defective one.  Not a problem at all.  These sit in our living room under a bar like cabinet.  Everyone knows were the soft drinks are located and they just help themselves.  Can't believe all the wine the wine cooler holds.  I thought it would not hold that many bottles.  But it did easily.,Good dual package,[],B00TJ1XY9K
AGIWUJWZ5AM6INOLQ2GA7CLIGCQA,B07S2G1ZWK,5.0,1668191424527,True,0,Great item and works great for my dyi fix of the fridge,Worked great,[],B07S2G1ZWK
AGAO3YPLHDT4YYFTBOTSW2DX2Z7A,B07Q42W393,5.0,1570831560891,True,0,Worked great. Thanks.,Works,[],B07Q42W393
AHM56N6SIRMQF3SDWIUK2HYO2PWQ,B0BDLY2Y2S,4.0,1668566780101,True,0,"Even though you put in the exact model number and order accordingly, the wiring was not exact!  A simple splice made it work but was not a direct replacement.  Also, the condition of the item was fairly banged up and wiring terminals all bent up due to shipping.  It all still works but a little more QC is in order",Working perfectly!,[],B0BDLY2Y2S
AFS63XGV7E5FAJIXL54AD4YHXX7A,B007IPNJDU,3.0,1336920068000,False,2,"I've had some bitter experiences with Miele home appliances, but thankfully the oven I've owned for over 4 years has been an exception. It's a capable but not outstanding performer, so save yourself a bundle and buy a quality, less-expensive, non-European brand - you'll get the same or better quality for far less, and there won't be European repair prices.",Capable performer that is still too expensive for what it is,[],B007IPNJDU
AFS63XGV7E5FAJIXL54AD4YHXX7A,B003GURZIG,3.0,1336918675000,False,4,"I have had this fridge for about four years (the same family of appliances, E522B), and the verdict is that its looks, efficient use of space and small footprint (which is a must if you have limited space) are almost outweighed by flaws that are unforgivable for this price range. First, the<br /><br />PROs:<br />Small footprint<br />Great looks, clean, classy, angular<br />Efficient use of space<br />Lots of nifty features and nice touches you'd expect for the price<br />Acceptably energy-efficient<br /><br />BUT here come the<br /><br />CONS:<br />Dents easily - out of nowhere, it's enough for someone to walk by it<br />It's mechanically unreliable - the ice tray quit working years ago, the screen is erratic and either works, works partially or not at all, some compartment doors snapped out within the first six months, etc.<br />It's expensive to fix, even a service diagnostic call will cost you a bundle<br />Fisher & Paykel customer service is horrid<br /><br />Bottom line: if you can find a similar size fridge from someone else, buy it - you'll save a lot of money, headaches and frustration. It is a shame really because I really do love my fridge - but it's been a thorn in my side for most of the time I've owned it,",Temperamental fridge with too many flaws for the price,[],B003GURZIG
AF3E2IQA7P3M5NWQWEOUQTJYXHDQ,B0049IFO9G,1.0,1620254399978,True,0,It is the properly size aluminum but there's no carbon filter within it which my oven requires and it was advertised as having.,Missing carbon filter,[],B0049IFO9G
AHKKSFVWAEOEW4UEFH5OCUFXNQXA,B0BSXL6PWK,1.0,1678780410798,True,0,We have well water and the only issue I have is the iron taste which this filter did not remove.,Doesn't remove iron,[],B0BSXL6PWK
